href,时长,名称,BV号,播放量,弹幕数,up主
https://www.bilibili.com/video/BV1RT4y1P7Sn,14:51,鸡为何每天下蛋？鸡蛋被拿走不生气？恐龙时代BUG，鸡是地球霸主,BV1RT4y1P7Sn,123.4万,8572,自说自话的总裁
https://www.bilibili.com/video/BV1Hf4y1k75a,03:43,前列腺高潮是怎么回事？,BV1Hf4y1k75a,121.9万,4359,许超医生
https://www.bilibili.com/video/BV13V411b749,02:17,长期禁欲危害有哪些？对禁欲主义说“NO”,BV13V411b749,121.6万,2515,乐有为医生
https://www.bilibili.com/video/BV1JX4y1K7Dr,17:02,卷积究竟卷了啥？——17分钟了解什么是卷积,BV1JX4y1K7Dr,120.9万,3497,良我叫什么
https://www.bilibili.com/video/BV1By4y1J7pa,18:01,印：五千人测6888突变 美：我致死率升了11倍,BV1By4y1J7pa,120.3万,9594,波士顿圆脸
https://www.bilibili.com/video/BV1Zt4y1B7fT,03:41,对于啪的错误认知！可能危害甚大！,BV1Zt4y1B7fT,119.9万,914,乐有为医生
https://www.bilibili.com/video/BV1LA411u7PS,02:44,【科普】古人是从什么时候开始吃火锅的？,BV1LA411u7PS,119.5万,2675,画渣花小烙
https://www.bilibili.com/video/BV1KA411g73G,03:35,是谁又被泡在“酒”里？揭秘12个网络上的“神奇”生物,BV1KA411g73G,118.7万,981,小阳的昆虫世界
https://www.bilibili.com/video/BV1T5411E7wn,11:52,【鬼谷说】灵长类（其一）：被错爱的也有恃无恐,BV1T5411E7wn,116.4万,8682,芳斯塔芙
https://www.bilibili.com/video/BV1Pa4y1n7Mq,08:07,老中医劝戒除手淫,BV1Pa4y1n7Mq,114.0万,79,公众号戒学一心
https://www.bilibili.com/video/BV1Ma4y1H7JE,01:46,小小包皮，大大的故事,BV1Ma4y1H7JE,112.6万,1168,e鹊视频官方
https://www.bilibili.com/video/BV1ia4y1n7tF,04:33,第五集 | 揭秘网络热门视频里的科学原理,BV1ia4y1n7tF,112.3万,724,爆炸实验室BoomLab
https://www.bilibili.com/video/BV1qU4y1W7Wk,06:56,【回形针PaperClip】寻找地球上最冷的冬天,BV1qU4y1W7Wk,111.9万,6676,回形针PaperClip
https://www.bilibili.com/video/BV1R5411J7VN,00:11,人的脚有多脏？,BV1R5411J7VN,111.8万,32,狼森森
https://www.bilibili.com/video/BV1jy4y1v7Pz,08:46,【医学博士】皮肤背后的杀手是什么？｜拿什么拯救你，我的皮肤,BV1jy4y1v7Pz,110.8万,7967,兔叭咯
